Date time,Temperature,Wind Speed,Visibility,Cloud Cover
1/9/2016 19:30,24,10.9,9.8,51.4
1/9/2016 20:00,25,12.8,9.9,50.6
1/9/2016 20:30,24.9,14.3,9.8,51.4
1/9/2016 21:00,25,14.6,9.9,50.6
1/9/2016 21:30,24.9,14.3,9.8,51.4
1/9/2016 22:00,23.4,14.4,15.2,71.7
1/9/2016 22:30,24,10.8,9.8,51.4
1/9/2016 23:00,23,7.5,9.9,50.6
1/9/2016 23:30,22,7.5,9.8,51.4
1/10/2016 0:00,22,5.4,9.9,50.6
1/10/2016 0:30,22,3.7,6.9,51.4
1/10/2016 1:00,21.9,3.5,13.8,71.7
1/10/2016 1:30,22,3.5,6.9,51.4
1/10/2016 2:00,22,3.6,6.9,50.6
1/10/2016 2:30,22,3.6,6.9,51.4
1/10/2016 3:00,22,3.6,6,50.6
1/10/2016 3:30,22,3.7,5.9,51.4
1/10/2016 4:00,21.6,3.5,13.3,71.7
1/10/2016 4:30,22,3.5,5.9,51.4
1/10/2016 5:00,21,3.6,6,50.6
1/10/2016 5:30,21,3.6,5.9,51.4
1/10/2016 6:00,21,3.6,6,50.6
1/10/2016 6:30,21,3.5,5.9,51.4
1/10/2016 7:00,21.3,3.6,7.5,71
1/10/2016 7:30,24.9,3.6,9.7,49.1
1/10/2016 8:00,26,5.3,9.9,49.6
1/10/2016 8:30,26.9,5.3,9.8,49.1
1/10/2016 9:00,28,3.6,9.9,49.6
1/10/2016 9:30,27.9,3.7,9.8,49.1
1/10/2016 10:00,28.6,3.6,15.2,70.6
1/10/2016 10:30,29,5.4,9.9,49.1
1/10/2016 11:00,30,5.4,9.9,49.6
1/10/2016 11:30,28,11.2,6,50
1/10/2016 12:00,31,9.5,9.9,50
1/10/2016 12:30,30.9,7.8,9.9,50
1/10/2016 13:00,30.1,9.1,15.2,88.4
1/10/2016 13:30,30.9,11.3,9.9,50
1/10/2016 14:00,31,13,9.9,50
1/10/2016 14:30,30.8,13,9.9,50
1/10/2016 15:00,30.9,11.2,9.9,50
1/10/2016 15:30,29.8,7.9,9.9,50
1/10/2016 16:00,29.3,4.7,15.2,71
1/10/2016 16:30,28.8,5.8,9.9,50
1/10/2016 17:00,28,5.6,8,50
1/10/2016 17:30,26.9,3.9,7.9,50
1/10/2016 18:00,27,3.6,7.9,88.4
1/10/2016 18:30,25.9,3.6,6.9,86.6
1/10/2016 19:00,25.6,4.4,13.8,88.4
1/10/2016 19:30,25.9,3.5,6,85.8
1/10/2016 20:00,26,3.6,6,88
1/10/2016 20:30,25,1.9,6.9,49.1
1/10/2016 21:00,25,1.8,6,49.6
1/10/2016 21:30,24.9,3.6,6.9,49.1
1/10/2016 22:00,24.1,1.9,12,70.6
1/10/2016 22:30,24,1.8,3.1,49.1
1/10/2016 23:00,24,3.5,6,49.6
