,date,time,value,date time
459,2018-01-20,4,954,2018-01-20 4
460,2018-01-20,5,    1 007,2018-01-20 5
461,2018-01-20,6,    1 007,2018-01-20 6
462,2018-01-20,7,    1 061.8,2018-01-20 7
463,2018-01-20,8,933.8,2018-01-20 8
464,2018-01-20,9,    1 171,2018-01-20 9
465,2018-01-20,10,    1 171,2018-01-20 10
466,2018-01-20,11,    1 260,2018-01-20 11
467,2018-01-20,12,926,2018-01-20 12
468,2018-01-20,13,889.1,2018-01-20 13
469,2018-01-20,14,926,2018-01-20 14
470,2018-01-20,15,933.8,2018-01-20 15
471,2018-01-20,16,933.8,2018-01-20 16
472,2018-01-20,17,    1 047.9,2018-01-20 17
473,2018-01-20,18,933.8,2018-01-20 18
474,2018-01-20,19,999,2018-01-20 19
475,2018-01-20,20,933.8,2018-01-20 20
476,2018-01-20,21,    1 279,2018-01-20 21
477,2018-01-20,22,    1 279,2018-01-20 22
478,2018-01-20,23,    1 138,2018-01-20 23
479,2018-01-20,24,    1 047.9,2018-01-20 24
480,2018-01-21,1,    1 047.9,2018-01-21 1
481,2018-01-21,2,    1 007,2018-01-21 2
482,2018-01-21,3,957.4,2018-01-21 3
483,2018-01-21,4,933.8,2018-01-21 4
484,2018-01-21,5,933.8,2018-01-21 5
485,2018-01-21,6,926,2018-01-21 6
486,2018-01-21,7,890.4,2018-01-21 7
487,2018-01-21,8,890.4,2018-01-21 8
488,2018-01-21,9,900,2018-01-21 9
489,2018-01-21,10,920,2018-01-21 10
490,2018-01-21,11,924.7,2018-01-21 11
491,2018-01-21,12,890.4,2018-01-21 12
492,2018-01-21,13,890.4,2018-01-21 13
493,2018-01-21,14,890.4,2018-01-21 14
494,2018-01-21,15,924.7,2018-01-21 15
495,2018-01-21,16,945.5,2018-01-21 16
496,2018-01-21,17,933.8,2018-01-21 17
497,2018-01-21,18,    1 000,2018-01-21 18
498,2018-01-21,19,    1 080,2018-01-21 19
499,2018-01-21,20,    1 047.9,2018-01-21 20
500,2018-01-21,21,    1 116,2018-01-21 21
501,2018-01-21,22,    1 070,2018-01-21 22
502,2018-01-21,23,957.4,2018-01-21 23
503,2018-01-21,24,926,2018-01-21 24
504,2018-01-22,1,926,2018-01-22 1
505,2018-01-22,2,926,2018-01-22 2
506,2018-01-22,3,890.4,2018-01-22 3
507,2018-01-22,4,890.4,2018-01-22 4
508,2018-01-22,5,926,2018-01-22 5
509,2018-01-22,6,926,2018-01-22 6
510,2018-01-22,7,926,2018-01-22 7
511,2018-01-22,8,926,2018-01-22 8
512,2018-01-22,9,    1 130,2018-01-22 9
513,2018-01-22,10,    1 050,2018-01-22 10
514,2018-01-22,11,    1 280,2018-01-22 11
515,2018-01-22,12,    1 144.5,2018-01-22 12
516,2018-01-22,13,    1 050,2018-01-22 13
517,2018-01-22,14,    1 280,2018-01-22 14
518,2018-01-22,15,    1 200,2018-01-22 15
519,2018-01-22,16,    1 171,2018-01-22 16
520,2018-01-22,17,    1 144.6,2018-01-22 17
521,2018-01-22,18,    1 144.5,2018-01-22 18
522,2018-01-22,19,    1 144.5,2018-01-22 19
523,2018-01-22,20,974,2018-01-22 20
524,2018-01-22,21,974,2018-01-22 21
525,2018-01-22,22,    1 096.5,2018-01-22 22
526,2018-01-22,23,    1 015.3,2018-01-22 23
527,2018-01-22,24,933.8,2018-01-22 24
528,2018-01-23,1,974,2018-01-23 1
529,2018-01-23,2,954.5,2018-01-23 2
530,2018-01-23,3,974,2018-01-23 3
531,2018-01-23,4,954.5,2018-01-23 4
532,2018-01-23,5,954,2018-01-23 5
533,2018-01-23,6,925,2018-01-23 6
534,2018-01-23,7,974,2018-01-23 7
535,2018-01-23,8,974,2018-01-23 8
536,2018-01-23,9,    1 089,2018-01-23 9
537,2018-01-23,10,974,2018-01-23 10
538,2018-01-23,11,933.8,2018-01-23 11
539,2018-01-23,12,925,2018-01-23 12
540,2018-01-23,13,926,2018-01-23 13
541,2018-01-23,14,    1 025,2018-01-23 14
542,2018-01-23,15,933.8,2018-01-23 15
543,2018-01-23,16,    1 000,2018-01-23 16
544,2018-01-23,17,    1 025,2018-01-23 17
545,2018-01-23,18,889.5,2018-01-23 18
546,2018-01-23,19,889.5,2018-01-23 19
547,2018-01-23,20,823.5,2018-01-23 20
548,2018-01-23,21,925,2018-01-23 21
549,2018-01-23,22,    1 181.9,2018-01-23 22
550,2018-01-23,23,974,2018-01-23 23
551,2018-01-23,24,925,2018-01-23 24
552,2018-01-24,1,    1 000,2018-01-24 1
553,2018-01-24,2,    1 050,2018-01-24 2
554,2018-01-24,3,    1 000,2018-01-24 3
555,2018-01-24,4,980,2018-01-24 4
556,2018-01-24,5,    1 050,2018-01-24 5
557,2018-01-24,6,    1 050,2018-01-24 6
558,2018-01-24,7,980,2018-01-24 7
559,2018-01-24,8,888.5,2018-01-24 8
560,2018-01-24,9,864.7,2018-01-24 9
561,2018-01-24,10,790,2018-01-24 10
562,2018-01-24,11,748,2018-01-24 11
563,2018-01-24,12,720,2018-01-24 12
564,2018-01-24,13,748,2018-01-24 13
565,2018-01-24,14,822.9,2018-01-24 14
566,2018-01-24,15,887.6,2018-01-24 15
567,2018-01-24,16,888.5,2018-01-24 16
