,Time,day,SMP,month,year,Date
611,36,13,986.5,9,2021,2021-09-13
612,37,13,1266.0,9,2021,2021-09-13
613,38,13,1170.0,9,2021,2021-09-13
614,39,13,960.0,9,2021,2021-09-13
615,40,13,917.0,9,2021,2021-09-13
616,41,13,917.0,9,2021,2021-09-13
617,42,13,962.0,9,2021,2021-09-13
618,43,13,940.1,9,2021,2021-09-13
619,44,13,915.0,9,2021,2021-09-13
620,45,13,886.3,9,2021,2021-09-13
621,46,13,886.3,9,2021,2021-09-13
622,47,13,886.3,9,2021,2021-09-13
623,48,13,886.3,9,2021,2021-09-13
624,1,14,901.2,9,2021,2021-09-14
625,2,14,900.0,9,2021,2021-09-14
626,3,14,890.2,9,2021,2021-09-14
627,4,14,820.0,9,2021,2021-09-14
628,5,14,820.0,9,2021,2021-09-14
629,6,14,820.0,9,2021,2021-09-14
