Time,Day,SMP,Month,Year
20,20,1.0,9,2020
21,20,1.0,9,2020
22,20,1.0,9,2020
23,20,1.0,9,2020
24,20,1.0,9,2020
25,20,1.0,9,2020
26,20,1.0,9,2020
27,20,1.0,9,2020
28,20,455.1,9,2020
29,20,450.0,9,2020
30,20,469.2,9,2020
31,20,480.0,9,2020
32,20,455.1,9,2020
33,20,1.0,9,2020
34,20,1.0,9,2020
35,20,500.0,9,2020
36,20,623.3,9,2020
37,20,800.0,9,2020
38,20,585.1,9,2020
39,20,500.0,9,2020
40,20,500.0,9,2020
41,20,580.0,9,2020
42,20,585.2,9,2020
43,20,585.1,9,2020
44,20,590.1,9,2020
45,20,600.0,9,2020
46,20,600.0,9,2020
47,20,580.0,9,2020
48,20,500.0,9,2020
1,21,500.0,9,2020
2,21,500.0,9,2020
3,21,500.0,9,2020
4,21,455.1,9,2020
5,21,455.1,9,2020
6,21,455.1,9,2020
7,21,455.1,9,2020
8,21,455.1,9,2020
9,21,469.2,9,2020
10,21,500.0,9,2020
11,21,500.0,9,2020
12,21,585.2,9,2020
13,21,580.0,9,2020
14,21,500.0,9,2020
15,21,500.0,9,2020
16,21,590.1,9,2020
17,21,500.0,9,2020
18,21,500.0,9,2020
19,21,500.0,9,2020
20,21,500.0,9,2020
21,21,590.1,9,2020
22,21,600.0,9,2020
23,21,500.0,9,2020
24,21,300.0,9,2020
25,21,1.0,9,2020
26,21,300.0,9,2020
27,21,500.0,9,2020
28,21,600.0,9,2020
29,21,740.9,9,2020
30,21,837.0,9,2020
31,21,837.0,9,2020
32,21,933.2,9,2020
33,21,993.0,9,2020
34,21,1009.0,9,2020
35,21,1009.0,9,2020
36,21,1009.0,9,2020
37,21,1070.0,9,2020
38,21,1000.0,9,2020
39,21,992.0,9,2020
40,21,900.0,9,2020
41,21,890.0,9,2020
42,21,900.0,9,2020
43,21,900.0,9,2020
44,21,890.0,9,2020
45,21,837.0,9,2020
46,21,837.0,9,2020
47,21,800.0,9,2020
48,21,770.0,9,2020
1,22,792.0,9,2020
2,22,740.9,9,2020
3,22,678.3,9,2020
4,22,660.1,9,2020
5,22,650.8,9,2020
6,22,660.2,9,2020
7,22,670.2,9,2020
8,22,660.2,9,2020
9,22,678.3,9,2020
10,22,686.4,9,2020
11,22,700.0,9,2020
12,22,678.3,9,2020
13,22,650.8,9,2020
14,22,600.0,9,2020
15,22,500.0,9,2020
16,22,650.8,9,2020
17,22,670.2,9,2020
18,22,752.0,9,2020
19,22,799.0,9,2020
